1:49:37 PM info -  [SocketServerLauncher] The GLSP server is ready to accept new client requests on port: 53492 
1:49:38 PM info -  [SocketServerLauncher] Starting GLSP server connection 
1:49:38 PM info -  [DefaultGLSPServer] Initializing server with: applicationId: a27336b1-950c-458c-808f-3c0ff89480c6, protocolVersion: 1.0.0 
1:49:38 PM info -  [DefaultGLSPServer] Initializing client session with: clientSessionId: 'tasklist-diagram_0', diagramType: 'tasklist-diagram' 
1:49:38 PM info -  [DefaultGLSPServer] process [action=requestContextActions, clientId=tasklist-diagram_0] 
1:49:38 PM info -  [DefaultGLSPServer] process [action=requestModel, clientId=tasklist-diagram_0] 
1:49:38 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:49:38 PM info -  [DefaultGLSPServer] process [action=requestTypeHints, clientId=tasklist-diagram_0] 
1:49:40 PM info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
1:49:40 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:49:41 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
1:49:42 PM info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
1:49:42 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:49:43 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
1:49:46 PM info -  [DefaultGLSPServer] process [action=requestPopupModel, clientId=tasklist-diagram_0] 
1:49:46 PM warn -  [RequestPopupModelActionHandler] Could not process `RequestPopupModelAction`. No `PopupModelFactory` is bound 
1:49:49 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
1:49:49 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:49:50 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
1:49:50 PM info -  [DefaultGLSPServer] process [action=changeBounds, clientId=tasklist-diagram_0] 
1:49:50 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:49:51 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
1:49:52 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
1:49:52 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:49:53 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
1:50:09 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
1:50:09 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:50:10 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
1:50:12 PM info -  [DefaultGLSPServer] process [action=createNode, clientId=tasklist-diagram_0] 
1:50:12 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:50:13 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
1:50:22 PM info -  [DefaultGLSPServer] process [action=compound, clientId=tasklist-diagram_0] 
1:50:22 PM info -  [DefaultGLSPServer] process [action=computedBounds, clientId=tasklist-diagram_0] 
1:50:23 PM info -  [DefaultGLSPServer] process [action=saveModel, clientId=tasklist-diagram_0] 
